sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
aishell1_S0057_01,aishell1_clean,streaming,very_long,0.0189,0.0189,1,0,1,106,1,0,1,106,0
aishell1_S0057_01,aishell1_clean,non-streaming,very_long,0.0094,0.0094,1,0,0,106,1,0,0,106,0
aishell1_S0044_01,aishell1_clean,streaming,very_long,0.0536,0.0536,3,1,2,112,3,1,2,112,0
aishell1_S0044_01,aishell1_clean,non-streaming,very_long,0.0446,0.0446,4,0,1,112,4,0,1,112,0
aishell1_S0056_01,aishell1_clean,streaming,very_long,0.1287,0.1287,7,5,1,101,7,5,1,101,0
aishell1_S0056_01,aishell1_clean,non-streaming,very_long,0.1287,0.1287,7,5,1,101,7,5,1,101,0
aishell1_S0032_01,aishell1_clean,streaming,very_long,0.0654,0.0654,7,0,0,107,7,0,0,107,0
aishell1_S0032_01,aishell1_clean,non-streaming,very_long,0.0561,0.0561,6,0,0,107,6,0,0,107,0
aishell1_S0048_01,aishell1_clean,streaming,very_long,0.2857,0.2857,21,3,2,91,21,3,2,91,0
aishell1_S0048_01,aishell1_clean,non-streaming,very_long,0.2747,0.2747,20,3,2,91,20,3,2,91,0
aishell1_S0040_01,aishell1_clean,streaming,very_long,0.0541,0.0541,4,0,2,111,4,0,2,111,0
aishell1_S0040_01,aishell1_clean,non-streaming,very_long,0.0450,0.0450,5,0,0,111,5,0,0,111,0
aishell1_S0034_01,aishell1_clean,streaming,very_long,0.2273,0.2273,18,6,1,110,18,6,1,110,0
aishell1_S0034_01,aishell1_clean,non-streaming,very_long,0.2091,0.2091,16,6,1,110,16,6,1,110,0
aishell1_S0053_01,aishell1_clean,streaming,very_long,0.1196,0.1196,10,0,1,92,10,0,1,92,0
aishell1_S0053_01,aishell1_clean,non-streaming,very_long,0.0217,0.0217,2,0,0,92,2,0,0,92,0
aishell1_S0042_01,aishell1_clean,streaming,very_long,0.1759,0.1759,12,5,2,108,12,5,2,108,0
aishell1_S0042_01,aishell1_clean,non-streaming,very_long,0.1852,0.1852,13,5,2,108,13,5,2,108,0
aishell1_S0050_01,aishell1_clean,streaming,very_long,0.2566,0.2566,18,11,0,113,18,11,0,113,0
aishell1_S0050_01,aishell1_clean,non-streaming,very_long,0.2301,0.2301,15,11,0,113,15,11,0,113,0
aishell1_S0064_01,aishell1_clean,streaming,extra_long,0.1854,0.1854,21,7,0,151,21,7,0,151,0
aishell1_S0064_01,aishell1_clean,non-streaming,extra_long,0.1656,0.1656,16,8,1,151,16,8,1,151,0
aishell1_S0068_01,aishell1_clean,streaming,extra_long,0.0588,0.0588,6,2,1,153,6,2,1,153,0
aishell1_S0068_01,aishell1_clean,non-streaming,extra_long,0.0588,0.0588,7,2,0,153,7,2,0,153,0
aishell1_S0065_01,aishell1_clean,streaming,extra_long,0.2350,0.2350,39,4,0,183,39,4,0,183,0
aishell1_S0065_01,aishell1_clean,non-streaming,extra_long,0.0546,0.0546,10,0,0,183,10,0,0,183,0
aishell1_S0070_01,aishell1_clean,streaming,extra_long,0.2034,0.2034,23,13,0,177,23,13,0,177,0
aishell1_S0070_01,aishell1_clean,non-streaming,extra_long,0.2034,0.2034,23,13,0,177,23,13,0,177,0
aishell1_S0067_01,aishell1_clean,streaming,extra_long,0.0359,0.0359,4,0,2,167,4,0,2,167,0
aishell1_S0067_01,aishell1_clean,non-streaming,extra_long,0.0120,0.0120,2,0,0,167,2,0,0,167,0
aishell1_S0075_01,aishell1_clean,streaming,extra_long,0.0698,0.0698,7,4,1,172,7,4,1,172,0
aishell1_S0075_01,aishell1_clean,non-streaming,extra_long,0.0523,0.0523,5,4,0,172,5,4,0,172,0
aishell1_S0074_01,aishell1_clean,streaming,extra_long,0.3432,0.3432,30,28,0,169,30,28,0,169,0
aishell1_S0074_01,aishell1_clean,non-streaming,extra_long,0.3314,0.3314,28,28,0,169,28,28,0,169,0
aishell1_S0072_01,aishell1_clean,streaming,extra_long,0.1000,0.1000,16,1,0,170,16,1,0,170,0
aishell1_S0072_01,aishell1_clean,non-streaming,extra_long,0.0647,0.0647,11,0,0,170,11,0,0,170,0
aishell1_S0069_01,aishell1_clean,streaming,extra_long,0.1453,0.1453,10,14,1,172,10,14,1,172,0
aishell1_S0069_01,aishell1_clean,non-streaming,extra_long,0.1337,0.1337,10,13,0,172,10,13,0,172,0
aishell1_S0076_01,aishell1_clean,streaming,extra_long,0.1029,0.1029,17,4,0,204,17,4,0,204,0
aishell1_S0076_01,aishell1_clean,non-streaming,extra_long,0.0882,0.0882,14,4,0,204,14,4,0,204,0
aishell1_S0066_01,aishell1_clean,streaming,extra_long,0.0881,0.0881,15,1,1,193,15,1,1,193,0
aishell1_S0066_01,aishell1_clean,non-streaming,extra_long,0.0674,0.0674,12,1,0,193,12,1,0,193,0
aishell1_S0071_01,aishell1_clean,streaming,extra_long,0.1020,0.1020,13,6,1,196,13,6,1,196,0
aishell1_S0071_01,aishell1_clean,non-streaming,extra_long,0.1020,0.1020,14,5,1,196,14,5,1,196,0
aishell1_S0062_01,aishell1_clean,streaming,extra_long,0.1371,0.1371,16,11,0,197,16,11,0,197,0
aishell1_S0062_01,aishell1_clean,non-streaming,extra_long,0.1371,0.1371,16,11,0,197,16,11,0,197,0
aishell1_S0063_01,aishell1_clean,streaming,extra_long,0.1953,0.1953,30,2,1,169,30,2,1,169,0
aishell1_S0063_01,aishell1_clean,non-streaming,extra_long,0.1716,0.1716,27,2,0,169,27,2,0,169,0
aishell1_S0073_01,aishell1_clean,streaming,extra_long,0.0415,0.0415,7,2,0,217,7,2,0,217,0
aishell1_S0073_01,aishell1_clean,non-streaming,extra_long,0.0415,0.0415,7,2,0,217,7,2,0,217,0
aishell1_S0005_01,aishell1_snr10,streaming,long,0.0980,0.0980,4,0,1,51,4,0,1,51,0
aishell1_S0005_01,aishell1_snr10,non-streaming,long,0.0588,0.0588,3,0,0,51,3,0,0,51,0
aishell1_S0004_01,aishell1_snr10,streaming,long,0.0000,0.0000,0,0,0,54,0,0,0,54,0
aishell1_S0004_01,aishell1_snr10,non-streaming,long,0.0000,0.0000,0,0,0,54,0,0,0,54,0
aishell1_S0023_01,aishell1_snr10,streaming,long,0.2444,0.2444,6,5,0,45,6,5,0,45,0
aishell1_S0023_01,aishell1_snr10,non-streaming,long,0.2444,0.2444,6,5,0,45,6,5,0,45,0
aishell1_S0013_01,aishell1_snr10,streaming,long,0.1250,0.1250,6,0,0,48,6,0,0,48,0
aishell1_S0013_01,aishell1_snr10,non-streaming,long,0.1250,0.1250,6,0,0,48,6,0,0,48,0
aishell1_S0025_01,aishell1_snr10,streaming,long,0.0000,0.0000,0,0,0,43,0,0,0,43,0
aishell1_S0025_01,aishell1_snr10,non-streaming,long,0.0000,0.0000,0,0,0,43,0,0,0,43,0
aishell1_S0002_01,aishell1_snr10,streaming,long,0.1136,0.1136,4,0,1,44,4,0,1,44,0
aishell1_S0002_01,aishell1_snr10,non-streaming,long,0.1364,0.1364,5,0,1,44,5,0,1,44,0
aishell1_S0020_01,aishell1_snr10,streaming,long,0.1875,0.1875,8,1,0,48,8,1,0,48,0
aishell1_S0020_01,aishell1_snr10,non-streaming,long,0.1875,0.1875,8,1,0,48,8,1,0,48,0
aishell1_S0028_01,aishell1_snr10,streaming,long,0.0488,0.0488,2,0,0,41,2,0,0,41,0
aishell1_S0028_01,aishell1_snr10,non-streaming,long,0.0244,0.0244,1,0,0,41,1,0,0,41,0
aishell1_S0014_01,aishell1_snr10,streaming,long,0.1316,0.1316,4,1,0,38,4,1,0,38,0
aishell1_S0014_01,aishell1_snr10,non-streaming,long,0.1053,0.1053,3,1,0,38,3,1,0,38,0
