sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
crosswoz_10749_turn3,crosswoz,zh,10749,3,156,30.48,very_long,full_streaming,1022.60,934.68,87.92,
crosswoz_7701_turn3,crosswoz,zh,7701,3,148,30.56,very_long,baseline,2559.10,2498.40,60.70,
crosswoz_7701_turn3,crosswoz,zh,7701,3,148,30.56,very_long,streaming_asr_only,884.53,800.77,83.76,
crosswoz_7701_turn3,crosswoz,zh,7701,3,148,30.56,very_long,full_streaming,905.77,813.17,92.60,
crosswoz_9200_turn3,crosswoz,zh,9200,3,144,30.84,very_long,baseline,2499.89,2437.71,62.18,
crosswoz_9200_turn3,crosswoz,zh,9200,3,144,30.84,very_long,streaming_asr_only,762.94,692.50,70.44,
crosswoz_9200_turn3,crosswoz,zh,9200,3,144,30.84,very_long,full_streaming,723.97,634.07,89.90,
crosswoz_9956_turn4,crosswoz,zh,9956,4,151,31.60,very_long,baseline,2661.51,2599.19,62.32,
crosswoz_9956_turn4,crosswoz,zh,9956,4,151,31.60,very_long,streaming_asr_only,1014.20,934.07,80.13,
crosswoz_9956_turn4,crosswoz,zh,9956,4,151,31.60,very_long,full_streaming,1017.81,928.41,89.40,
crosswoz_8202_turn3,crosswoz,zh,8202,3,172,31.61,very_long,baseline,2741.68,2692.90,48.78,
crosswoz_8202_turn3,crosswoz,zh,8202,3,172,31.61,very_long,streaming_asr_only,960.90,901.64,59.26,
crosswoz_8202_turn3,crosswoz,zh,8202,3,172,31.61,very_long,full_streaming,982.49,892.05,90.43,
crosswoz_8672_turn3,crosswoz,zh,8672,3,154,31.66,very_long,baseline,2769.33,2708.38,60.96,
crosswoz_8672_turn3,crosswoz,zh,8672,3,154,31.66,very_long,streaming_asr_only,832.75,755.23,77.52,
crosswoz_8672_turn3,crosswoz,zh,8672,3,154,31.66,very_long,full_streaming,759.28,669.67,89.61,
crosswoz_12315_turn3,crosswoz,zh,12315,3,156,32.11,very_long,baseline,3139.16,3058.16,81.00,
crosswoz_12315_turn3,crosswoz,zh,12315,3,156,32.11,very_long,streaming_asr_only,1292.24,1205.98,86.26,
crosswoz_12315_turn3,crosswoz,zh,12315,3,156,32.11,very_long,full_streaming,1320.64,1235.18,85.46,
crosswoz_9033_turn3,crosswoz,zh,9033,3,159,32.70,very_long,baseline,3056.54,2992.79,63.75,
crosswoz_9033_turn3,crosswoz,zh,9033,3,159,32.70,very_long,streaming_asr_only,868.04,795.93,72.11,
crosswoz_9033_turn3,crosswoz,zh,9033,3,159,32.70,very_long,full_streaming,879.78,794.46,85.32,
crosswoz_11248_turn2,crosswoz,zh,11248,2,160,33.08,very_long,baseline,2474.21,2415.80,58.41,
crosswoz_11248_turn2,crosswoz,zh,11248,2,160,33.08,very_long,streaming_asr_only,672.67,605.71,66.95,
crosswoz_11248_turn2,crosswoz,zh,11248,2,160,33.08,very_long,full_streaming,698.59,612.22,86.38,
crosswoz_10296_turn3,crosswoz,zh,10296,3,160,33.55,very_long,baseline,2865.16,2804.30,60.85,
crosswoz_10296_turn3,crosswoz,zh,10296,3,160,33.55,very_long,streaming_asr_only,1156.68,1067.91,88.78,
crosswoz_10296_turn3,crosswoz,zh,10296,3,160,33.55,very_long,full_streaming,1163.56,1075.79,87.77,
